Inner Contour [inches],,,
R,Z,,0
5.6614,1.5,5.6614,-1.5
5.6636,1.6018,5.6636,-1.6018
5.667,1.8203,5.667,-1.8203
5.6714,2.1707,5.6714,-2.1707
5.6808,2.5629,5.6808,-2.5629
5.7051,2.9915,5.7051,-2.9915
5.7533,3.4492,5.7533,-3.4492
5.8159,3.9319,5.8159,-3.9319
5.8795,4.4341,5.8795,-4.4341
5.9341,4.9466,5.9341,-4.9466
5.9917,5.4605,5.9917,-5.4605
6.0634,5.9736,6.0634,-5.9736
6.1544,6.486,6.1544,-6.486
6.2654,6.9965,6.2654,-6.9965
6.3966,7.5019,6.3966,-7.5019
6.5352,8.0038,6.5352,-8.0038
6.6663,8.5065,6.6663,-8.5065
6.796,9.0092,6.796,-9.0092
6.9435,9.508,6.9435,-9.508
7.1198,9.999,7.1198,-9.999
7.3224,10.4805,7.3224,-10.4805
7.5497,10.9513,7.5497,-10.9513
7.7888,11.4186,7.7888,-11.4186
8.0278,11.8905,8.0278,-11.8905
8.3001,12.3494,8.3001,-12.3494
8.6295,12.771,8.6295,-12.771
8.9905,13.1645,8.9905,-13.1645
9.3775,13.5332,9.3775,-13.5332
9.8069,13.853,9.8069,-13.853
10.2706,14.119,10.2706,-14.119
10.7557,14.343,10.7557,-14.343
11.2622,14.5165,11.2622,-14.5165
11.7866,14.632,11.7866,-14.632
12.3187,14.7096,12.3187,-14.7096
12.8541,14.7599,12.8541,-14.7599
13.3904,14.7688,13.3904,-14.7688
13.924,14.7344,13.924,-14.7344
14.4544,14.6721,14.4544,-14.6721
14.9821,14.5888,14.9821,-14.5888
15.5038,14.472,15.5038,-14.472
16.0148,14.3153,16.0148,-14.3153
16.5158,14.1305,16.5158,-14.1305
17.0091,13.9265,17.0091,-13.9265
17.4904,13.6958,17.4904,-13.6958
17.9529,13.4314,17.9529,-13.4314
18.3965,13.1405,18.3965,-13.1405
18.8242,12.8315,18.8242,-12.8315
19.2389,12.508,19.2389,-12.508
19.6437,12.1727,19.6437,-12.1727
20.0398,11.8267,20.0398,-11.8267
20.4248,11.468,20.4248,-11.468
20.7956,11.095,20.7956,-11.095
21.153,10.7103,21.153,-10.7103
21.4982,10.3169,21.4982,-10.3169
21.8336,9.9174,21.8336,-9.9174
22.1626,9.5138,22.1626,-9.5138
22.4901,9.1083,22.4901,-9.1083
22.8152,8.6995,22.8152,-8.6995
23.1338,8.2844,23.1338,-8.2844
23.4412,7.8608,23.4412,-7.8608
23.7394,7.4289,23.7394,-7.4289
24.0346,6.9855,24.0346,-6.9855
24.337,6.5208,24.337,-6.5208
24.6511,6.0154,24.6511,-6.0154
24.9731,5.4527,24.9731,-5.4527
25.2863,4.8375,25.2863,-4.8375
25.5733,4.2034,25.5733,-4.2034
25.819,3.5904,25.819,-3.5904
25.9561,3.1908,25.9561,-3.1908
26.0157,3,26.0157,-3
