-5860.35, -157773, 195883
-61213.6, -87905.4, 50122.5
-102455, -269201, -180866
13522.7, -144433, 90302.2
34679.5, 125370, -59773.8
10106.4, 105030, -183671
-119087, -179330, -22005
-41845, 107202, -21944.3
-14280.8, -57666.5, 115481
17706, 99205.4, -92416.2
13665.3, 47086.6, -62420
-189311, 319892, -366264
865.426, 96838.9, -84127.4
220117, -170059, 207159
87621.1, -190044, 158662
-23912.8, 154905, -223040
-246770, 311722, -124535
-135930, -104009, 53433.4
257803, -370449, 74779.2
74593.6, -109026, 55409.9
-111218, -251494, 585.872
-62215, 76956.3, -1672.33
23257.4, 182532, -37447.4
-93400.1, 177560, -63970
-70518.2, -323979, -72984
-57166, 160207, 12434.5
-258300, -287724, 160768
-68943.3, -233404, 78456.6
44445.4, -73933.1, 103719
-29126.7, 178026, 24843.3
86659.1, 216652, -11909.4
-41473.6, -335459, -154809
76138.2, 66645, 4250.62
62649.8, 134353, -173467
-125785, 257431, 79850.3
68546.4, 160150, 16398.9
-56056.4, 180464, 34658.1
-253363, 244176, -146066
24218.3, 92100, -63370.7
-133526, -270420, 50737.7
50224.1, -82539.3, 34896.6
-11935.6, -159059, 153985
-32727.4, -69470.8, 20391.1
-28166.8, 128391, -43063.4
42245.8, 47657.5, -93591.6
118621, -109371, 45052.6
117224, 149789, -4592.64
86728.8, 345893, 37492
-91603.7, 135730, 55809.7
-40567.8, -182468, 129504
-11153, 22266.9, -25259.3
1514.29, -225359, 43369.3
-31946.6, 222463, 30453.7
-5885.27, -54664.5, 109082
114102, -143408, 105253
107959, 101252, -175978
-88487.4, -87885.9, 19761.9
31388.5, -59138.4, 14951.8
4166.43, -78196.3, 142910
228686, -205034, 9148.11
22833, -203863, 28740.5
219687, -313887, 92294.2
-93387.7, 69403.2, -51613.3
17555.4, -119771, -14982.3
2572.82, 107897, -212147
73444.7, -102321, 162343
112592, -318181, -160666
-98626.2, 98056.7, -138718
150289, -127761, 105990
-29883.3, 208021, -121605
-26833.7, 79654.2, 10367.2
270044, 221124, -77481.3
143667, -252405, 138539
-107452, -230661, -22461.7
